TEAM,NAME,LOGIT,OPASS,ORUSH,OINT,DPASS,DRUSH,TPEN
AFA,Air Force,-5.325686515,6.933947704,4.405028869,0.0726748,8.6117948,6.212274268,0.511134288
AKR,Akron,-6.558584021,5.302788672,2.845549974,0.026530481,7.480557365,5.332431847,0.883592306
ALA,Alabama,3.839934291,6.779588371,5.574854471,0.008397852,5.506383099,2.60194899,0.647996703
APP,Appalachian State,0.262431872,7.140900833,5.293619742,0.020900826,7.192958402,3.859407627,0.892332303
ARIZ,Arizona,1.338393367,8.392635121,6.195760506,0.047878542,7.969529303,4.255995862,0.738340595
ARK,Arkansas,-5.742796581,6.233027218,4.14851584,0.022707104,8.957885194,4.971079968,0.686531413
ARMY,Army,0.469656869,8.215538847,5.674098535,0.098478836,6.929082842,5.813491117,0.546738443
ARST,Arkansas State,-0.322008806,7.345851021,3.923012425,0.038541799,7.234271981,3.428017523,0.887971659
ASU,Arizona State,-3.137533667,6.75018846,3.791516668,0.023660875,7.591952748,4.783800961,0.521294982
AUB,Auburn,2.668462021,7.593955165,4.774347389,0.012305628,5.845575892,3.667079148,0.495023232
BALL,Ball State,-9.68107921,4.347524842,3.518993119,0.032531017,9.435791321,5.0121168,0.530665609
BAY,Baylor,-6.555684125,6.118121003,2.994055739,0.030213207,8.626158075,5.002312764,0.805460037
BC,Boston College,-1.84483874,5.624708593,4.542984858,0.027961819,6.182342727,4.660208896,0.39555585
BGSU,Bowling Green,-5.479168736,6.103883382,3.98899794,0.032783445,7.989917969,5.675029196,0.889700759
BSU,Boise State,1.070260686,7.452192051,3.73979203,0.014611861,6.419427518,3.254102666,0.730261376
BUFF,Buffalo,-0.452781706,8.143038474,3.585107442,0.017171034,7.300510575,4.281114292,0.712745669
BYU,Brigham Young,-5.284783276,5.226927958,3.529662237,0.048721043,8.312923586,3.544835342,0.594683587
CAL,California,-4.822032852,5.640249361,3.105078207,0.024126212,7.857200008,3.888309533,0.750164626
CCAR,Coastal Carolina,-3.152610007,6.411207606,3.948221828,0.029380626,7.736741112,4.166989882,1.033569731
CHAR,Charlotte,-6.565399524,4.461834031,4.372419595,0.048024438,7.986437152,4.80631993,1.055446961
CIN,Cincinnati,-6.608354377,5.594582431,4.375970912,0.022594423,9.484825238,4.327577858,1.09486475
CLEM,Clemson,1.532922934,5.757353977,4.493579248,0.020222013,5.007378023,3.158176249,0.615857569
CMU,Central Michigan,-0.360643241,6.961931608,3.573074389,0.033989442,6.031866208,4.288508588,0.878064835
COLO,Colorado,-4.588635101,6.194884169,3.57664505,0.021288372,7.588427163,5.201100928,0.665869032
CONN,Connecticut,-4.926968897,6.820027163,3.533318969,0.029646212,8.51821948,5.046137232,0.665606479
CSU,Colorado State,-1.615458616,8.281960816,4.920814039,0.020071317,8.426358261,5.184135035,0.742448365
DUKE,Duke,-8.334973719,4.939862569,3.869199869,0.026820236,10.18341249,3.817306107,0.550918395
ECU,East Carolina,-9.123013079,6.932342283,3.211270028,0.025221283,10.97010234,5.523292239,0.767522355
EMU,Eastern Michigan,-1.067067358,6.843331106,3.51422726,0.033938578,6.4117712,4.243821263,0.817214752
FAU,Florida Atlantic,2.289690187,8.059321382,5.66468917,0.017093079,6.951763026,3.861498477,0.71166785
FIU,Florida International,-2.623201938,6.840011424,4.124730675,0.028146734,7.522047103,4.687264526,1.017117213
FLA,Florida,-5.754793865,5.073354734,4.134131512,0.029442933,8.536677132,3.943710268,0.915140003
FRES,Fresno State,0.830080678,7.30564102,4.107707359,0.014449734,6.41638609,3.622950438,0.669969447
FSU,Florida State,-0.59431846,6.003892927,3.853711261,0.041796992,5.793447536,3.79819052,0.874272376
GASO,Georgia Southern,-7.046924122,5.387842461,4.004419635,0.038175876,8.8755611,5.027983761,0.803936353
GAST,Georgia State,-2.120814939,7.11689313,3.24790306,0.020900365,7.614773025,3.774713544,0.682747173
GT,Georgia Tech,-1.351005754,6.229125189,5.296324274,0.039844877,7.009676589,4.50205598,0.479484389
