team_id,team_name
721,Air Force
5,Akron
8,Alabama
27,Appalachian State
29,Arizona
28,Arizona State
31,Arkansas
30,Arkansas State
725,Army
37,Auburn
77,BYU
47,Ball State
51,Baylor
66,Boise State
67,Boston College
71,Bowling Green
86,Buffalo
107,California
129,Central Michigan
458,Charlotte
140,Cincinnati
147,Clemson
149,Coastal Carolina
157,Colorado
156,Colorado State
164,Connecticut
193,Duke
196,East Carolina
204,Eastern Michigan
235,Florida
229,Florida Atlantic
231,Florida International
234,Florida State
96,Fresno State
257,Georgia
253,Georgia Southern
254,Georgia State
255,Georgia Tech
277,Hawai'i
288,Houston
295,Idaho
301,Illinois
306,Indiana
312,Iowa
311,Iowa State
328,Kansas
327,Kansas State
331,Kent State
334,Kentucky
365,LSU
366,Louisiana Tech
671,Louisiana-Lafayette
498,Louisiana-Monroe
367,Louisville
388,Marshall
392,Maryland
400,Massachusetts
404,Memphis
415,Miami (Florida)
414,Miami (Ohio)
418,Michigan
416,Michigan State
419,Middle Tennessee
428,Minnesota
433,Mississippi
430,Mississippi State
434,Missouri
726,Navy
463,Nebraska
466,Nevada
473,New Mexico
472,New Mexico State
457,North Carolina
490,North Carolina State
497,North Texas
503,Northern Illinois
509,Northwestern
513,Notre Dame
519,Ohio
518,Ohio State
522,Oklahoma
521,Oklahoma State
523,Old Dominion
529,Oregon
528,Oregon State
539,Penn State
545,Pittsburgh
559,Purdue
574,Rice
587,Rutgers
663,SMU
626,San Diego State
630,San Jose State
646,South Alabama
648,South Carolina
651,South Florida
664,Southern Mississippi
674,Stanford
688,Syracuse
698,TCU
690,Temple
694,Tennessee
703,Texas
697,Texas A&M
670,Texas State
700,Texas Tech
709,Toledo
716,Troy
718,Tulane
719,Tulsa
9,UAB
128,UCF
110,UCLA
465,UNLV
657,USC
704,UTEP
706,UTSA
732,Utah
731,Utah State
736,Vanderbilt
746,Virginia
742,Virginia Tech
749,Wake Forest
756,Washington
754,Washington State
768,West Virginia
772,Western Kentucky
774,Western Michigan
796,Wisconsin
811,Wyoming
