ABBR,NAME
AFA,Air Force
AKR,Akron
ALA,Alabama
APP,Appalachian State
ARIZ,Arizona
ARK,Arkansas
ARMY,Army
ARST,Arkansas State
ASU,Arizona State
AUB,Auburn
BALL,Ball State
BAY,Baylor
BC,Boston College
BGSU,Bowling Green
BSU,Boise State
BUFF,Buffalo
BYU,Brigham Young
CAL,California
CCAR,Coastal Carolina
CHAR,Charlotte
CIN,Cincinnati
CLEM,Clemson
CMU,Central Michigan
COLO,Colorado
CONN,Connecticut
CSU,Colorado State
DUKE,Duke
ECU,East Carolina
EMU,Eastern Michigan
FAU,Florida Atlantic
FIU,Florida International
FLA,Florida
FRES,Fresno State
FSU,Florida State
GASO,Georgia Southern
GAST,Georgia State
GT,Georgia Tech
HAW,Hawaii
HOU,Houston
IDHO,Idaho
ILL,Illinois
IND,Indiana
IOWA,Iowa
ISU,Iowa State
KENT,Kent State
KSU,Kansas State
KU,Kansas
LOU,Louisville
LSU,Louisiana State
LT,Louisiana Tech
MEM,Memphis
MIA,Miami (Florida)
MICH,Michigan
MINN,Minnesota
MISS,Mississippi
MIZ,Missouri
M-OH,Miami (Ohio)
MRSH,Marshall
MSST,Mississippi State
MSU,Michigan State
MTSU,Middle Tennessee
NAVY,Navy
NCST,North Carolina State
ND,Notre Dame
NEB,Nebraska
NEV,Nevada
NIU,Northern Illinois
NMSU,New Mexico State
NW,Northwestern
ODU,Old Dominion
OHIO,Ohio
OKLA,Oklahoma
OKST,Oklahoma State
ORE,Oregon
ORST,Oregon State
OSU,Ohio State
PITT,Pittsburgh
PSU,Penn State
PUR,Purdue
RICE,Rice
RUTG,Rutgers
SC,South Carolina
SDSU,San Diego State
SJSU,San Jose State
SMU,Southern Methodist
STAN,Stanford
SYR,Syracuse
TAMU,Texas A&M
TCU,Texas Christian
TEM,Temple
TENN,Tennessee
TEX,Texas
TLSA,Tulsa
TOL,Toledo
TROY,Troy
TTU,Texas Tech
TULN,Tulane
TXST,Texas State
UAB,Alabama-Birmingham
UCF,Central Florida
UCLA,California-Los Angeles
UGA,Georgia
UK,Kentucky
ULL,Louisiana-Lafayette
ULM,Louisiana-Monroe
UMASS,Massachusetts-Amherst
UMD,Maryland
UNC,North Carolina
UNLV,Nevada-Las Vegas
UNM,New Mexico
UNT,North Texas
USA,South Alabama
USC,Southern California
USF,South Florida
USM,Southern Mississippi
USU,Utah State
UTAH,Utah
UTEP,Texas-El Paso
UTSA,Texas-San Antonio
UVA,Virginia
VAN,Vanderbilt
VT,Virginia Tech
WAKE,Wake Forest
WASH,Washington
WIS,Wisconsin
WKU,Western Kentucky
WMU,Western Michigan
WSU,Washington State
WVU,West Virginia
WYO,Wyoming
