Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
08/30/08,721,Air Force,FCS,W 41-7,12,75,0,home,76,433,25,123,23,7,4,33,88,6,50
09/06/08,721,Air Force,Wyoming,W 23-3,4,15,1,away,63,261,22,76,33,140,4,20,67,7,42
09/13/08,721,Air Force,Houston,W 31-28,7,0,0,neutral,71,380,57,362,28,172,3,23,78,10,73
09/20/08,721,Air Force,Utah,L 23-30,13,138,2,home,42,53,24,243,53,197,5,39,55,3,25
10/04/08,721,Air Force,Navy,L 27-33,21,184,0,home,56,227,2,38,56,206,0,0,77,10,75
10/11/08,721,Air Force,San Diego St.,W 35-10,7,72,0,away,77,401,38,130,27,35,5,20,84,4,43
10/18/08,721,Air Force,UNLV,W 29-28,7,162,0,away,68,346,30,251,35,153,1,9,75,8,67
10/23/08,721,Air Force,New Mexico,W 23-10,3,1,1,home,69,227,18,91,47,212,1,5,72,0,0
11/01/08,721,Air Force,Army,W 16-7,8,32,1,away,49,142,26,107,48,143,1,4,57,8,95
11/08/08,721,Air Force,Colorado St.,W 38-17,8,171,0,home,51,284,36,251,30,103,2,14,59,4,25
11/15/08,721,Air Force,Brigham Young,L 24-38,20,98,1,home,51,323,37,354,36,126,3,32,71,8,73
11/22/08,721,Air Force,TCU,L 10-44,10,11,0,away,37,150,27,321,52,183,4,26,47,2,23
12/31/08,721,Air Force,Houston,L 28-34,18,109,0,neutral,67,243,33,252,32,163,1,9,85,3,11
08/30/08,5,Akron,Wisconsin,L 17-38,37,227,0,away,22,70,10,75,63,404,0,0,59,7,48
09/06/08,5,Akron,Syracuse,W 42-28,26,260,1,away,46,218,20,135,43,218,2,15,72,5,30
09/13/08,5,Akron,Ball St.,L 24-41,45,299,4,home,28,119,36,300,44,191,1,2,73,7,58
09/20/08,5,Akron,Army,W 22-3,25,204,0,away,37,153,13,63,48,160,3,19,62,9,70
09/27/08,5,Akron,Cincinnati,L 15-17,42,254,1,home,33,104,38,322,31,104,0,0,75,6,68
10/04/08,5,Akron,Kent St.,W 30-27,39,243,3,away,29,58,31,157,58,256,1,2,68,4,33
10/11/08,5,Akron,Bowling Green,L 33-37,34,161,1,home,42,206,42,244,27,175,0,0,76,3,29
10/18/08,5,Akron,Eastern Mich.,W 42-35,19,208,0,away,42,339,34,258,41,182,1,5,61,3,15
11/05/08,5,Akron,Toledo,W 47-30,23,226,1,home,44,232,35,277,25,93,0,0,67,8,82
11/13/08,5,Akron,Buffalo,L 40-43,38,295,0,home,34,179,39,252,57,224,1,7,72,7,70
11/22/08,5,Akron,Ohio,L 42-49,37,235,0,away,47,139,28,222,23,91,0,0,84,2,15
11/28/08,5,Akron,Temple,L 6-27,39,166,3,away,31,165,30,220,44,148,2,7,70,5,40
08/30/08,8,Alabama,Clemson,W 34-10,30,180,0,neutral,50,239,34,188,14,0,3,28,80,6,40
09/06/08,8,Alabama,Tulane,W 20-6,23,73,0,home,26,99,50,232,32,86,1,8,49,6,43
09/13/08,8,Alabama,Western Ky.,W 41-7,33,276,1,home,49,281,26,116,22,42,1,12,82,3,25
09/20/08,8,Alabama,Arkansas,W 49-14,15,74,1,away,35,328,46,217,31,92,2,15,50,1,10
09/27/08,8,Alabama,Georgia,W 41-30,16,205,0,away,45,129,43,274,16,50,2,18,61,2,9
10/04/08,8,Alabama,Kentucky,W 17-14,17,106,1,home,49,282,42,241,20,35,1,6,66,10,92
10/18/08,8,Alabama,Mississippi,W 24-20,25,219,1,home,34,107,33,201,34,158,2,13,59,6,55
10/25/08,8,Alabama,Tennessee,W 29-9,24,188,0,away,43,178,28,137,21,36,2,16,67,3,35
11/01/08,8,Alabama,Arkansas St.,W 35-0,28,152,1,home,36,205,17,67,37,91,4,26,64,3,33
11/08/08,8,Alabama,LSU,W 27-21,31,215,1,away,37,138,34,181,46,201,1,3,68,2,24
11/15/08,8,Alabama,Mississippi St.,W 32-7,19,166,0,home,48,198,28,132,22,35,2,12,67,5,52
11/29/08,8,Alabama,Auburn,W 36-0,18,178,0,home,50,234,23,113,30,57,2,20,68,1,4
12/06/08,8,Alabama,Florida,L 20-31,25,187,1,neutral,33,136,22,216,42,142,1,2,58,2,31
01/02/09,8,Alabama,Utah,L 17-31,30,177,2,neutral,33,31,41,336,24,13,1,5,63,7,67
08/30/08,29,Arizona,Idaho,W 70-0,31,256,0,home,49,265,27,48,25,64,0,0,80,6,60
09/06/08,29,Arizona,Toledo,W 41-16,34,299,0,home,33,153,31,170,24,74,1,7,67,5,36
09/13/08,29,Arizona,New Mexico,L 28-36,50,321,2,away,24,67,18,114,47,221,2,12,74,2,20
09/20/08,29,Arizona,UCLA,W 31-10,29,222,0,away,35,111,31,81,28,115,4,19,64,4,24
10/04/08,29,Arizona,Washington,W 48-14,21,193,0,home,51,256,28,181,28,63,1,6,72,1,10
10/11/08,29,Arizona,Stanford,L 23-24,34,259,0,away,23,77,24,152,48,286,1,0,57,6,42
10/18/08,29,Arizona,California,W 42-27,27,225,1,home,41,179,56,315,23,110,2,22,68,0,0
10/25/08,29,Arizona,Southern California,L 10-17,31,88,1,home,30,100,36,216,41,151,3,14,61,1,15
11/08/08,29,Arizona,Washington St.,W 59-28,15,214,1,away,57,317,20,114,29,94,3,27,72,7,70
11/15/08,29,Arizona,Oregon,L 45-55,46,328,2,away,52,199,27,298,30,206,1,1,98,2,20
11/22/08,29,Arizona,Oregon St.,L 17-19,22,158,0,home,41,139,32,224,33,166,1,8,63,4,30
12/06/08,29,Arizona,Arizona St.,W 31-10,37,284,1,home,40,105,31,124,23,38,3,19,77,8,76
12/20/08,29,Arizona,Brigham Young,W 31-21,35,325,0,neutral,28,91,46,328,32,116,2,7,63,7,54
08/30/08,28,Arizona State,FCS,W 30-13,36,387,0,home,23,94,36,169,42,139,2,12,59,6,52
09/06/08,28,Arizona State,Stanford,W 41-17,36,345,1,home,36,127,31,120,30,113,2,11,72,10,107
09/13/08,28,Arizona State,UNLV,L 20-23,23,242,1,home,36,131,36,210,37,135,0,0,59,4,35
09/20/08,28,Arizona State,Georgia,L 10-27,36,208,0,home,19,4,28,285,39,176,1,7,55,6,50
10/04/08,28,Arizona State,California,L 14-24,35,165,2,away,32,71,28,198,33,79,1,4,67,7,45
10/11/08,28,Arizona State,Southern California,L 0-28,37,154,3,away,36,75,29,177,40,210,2,16,73,9,58
10/25/08,28,Arizona State,Oregon,L 20-54,45,226,2,home,32,107,30,233,43,304,1,5,77,5,62
11/01/08,28,Arizona State,Oregon St.,L 25-27,28,217,0,away,32,78,34,261,38,109,1,8,60,10,80
11/08/08,28,Arizona State,Washington,W 39-19,31,218,0,away,40,182,42,227,28,52,4,31,71,12,92
11/15/08,28,Arizona State,Washington St.,W 31-0,31,257,0,home,36,141,30,123,24,7,3,42,67,10,104
11/28/08,28,Arizona State,UCLA,W 34-9,26,101,1,home,24,21,44,217,35,87,5,31,50,7,56
12/06/08,28,Arizona State,Arizona,L 10-31,31,124,1,away,23,38,37,284,40,105,1,10,54,8,61
08/30/08,31,Arkansas,FCS,W 28-24,41,318,1,home,21,76,26,105,46,157,1,1,62,4,25
09/06/08,31,Arkansas,La.-Monroe,W 28-27,34,323,0,neutral,36,183,40,270,26,71,2,8,70,8,44
09/20/08,31,Arkansas,Alabama,L 14-49,46,217,4,home,31,92,15,74,35,328,1,12,77,5,30
09/27/08,31,Arkansas,Texas,L 10-52,28,180,1,away,26,11,23,213,50,208,0,0,54,6,38
10/04/08,31,Arkansas,Florida,L 7-38,38,220,1,home,25,141,29,236,38,278,1,7,63,9,75
10/11/08,31,Arkansas,Auburn,W 25-22,33,228,2,away,44,188,28,137,33,56,4,30,77,6,47
10/18/08,31,Arkansas,Kentucky,L 20-21,29,94,2,away,51,236,35,284,28,88,2,12,80,13,102
10/25/08,31,Arkansas,Mississippi,L 21-23,38,282,1,home,25,104,27,209,45,160,2,12,63,7,52
11/01/08,31,Arkansas,Tulsa,W 30-23,38,385,1,home,31,50,33,344,47,184,4,21,69,4,36
11/08/08,31,Arkansas,South Carolina,L 21-34,34,255,3,away,31,54,30,219,34,132,2,9,65,5,36
11/22/08,31,Arkansas,Mississippi St.,L 28-31,44,333,1,away,26,109,40,219,35,226,1,14,70,5,33
11/28/08,31,Arkansas,LSU,W 31-30,40,280,1,home,31,118,21,143,44,161,5,24,71,7,66
08/30/08,30,Arkansas State,Texas A&M,W 18-14,28,160,0,away,45,255,27,170,36,133,4,28,73,6,70
09/06/08,30,Arkansas State,FCS,W 83-10,10,229,0,home,44,441,31,128,39,95,2,21,54,9,83
09/13/08,30,Arkansas State,Southern Miss.,L 24-27,35,256,1,home,35,181,31,219,41,129,3,8,70,6,59
09/20/08,30,Arkansas State,Middle Tenn. St.,W 31-14,31,292,0,home,34,148,37,271,25,44,2,21,65,8,48
09/27/08,30,Arkansas State,Memphis,L 17-29,23,173,1,away,40,179,29,210,41,243,1,4,63,10,103
10/11/08,30,Arkansas State,La.-Monroe,W 37-29,16,129,0,home,44,262,42,309,26,87,5,20,60,5,50
10/18/08,30,Arkansas State,La.-Lafayette,L 23-28,40,235,1,away,28,100,17,124,51,189,5,25,68,10,75
11/01/08,30,Arkansas State,Alabama,L 0-35,17,67,1,away,37,91,28,152,36,205,2,19,54,7,73
11/08/08,30,Arkansas State,Florida Int'l,L 21-22,26,149,1,away,49,222,34,359,22,48,2,16,75,8,96
11/22/08,30,Arkansas State,Fla. Atlantic,W 28-14,28,279,1,home,42,203,38,196,23,63,1,9,70,6,50
11/29/08,30,Arkansas State,North Texas,W 33-28,22,205,0,away,45,188,42,217,31,110,1,7,67,5,38
12/06/08,30,Arkansas State,Troy,L 9-35,32,172,2,away,45,160,24,181,30,156,0,0,77,4,35
08/29/08,725,Army,Temple,L 7-35,15,74,1,home,58,210,23,166,30,84,0,0,73,3,45
09/06/08,725,Army,FCS,L 10-28,11,95,0,home,55,169,17,138,38,184,2,7,66,4,40
09/20/08,725,Army,Akron,L 3-22,13,63,1,home,48,160,25,204,37,153,0,0,61,3,40
09/27/08,725,Army,Texas A&M,L 17-21,5,4,0,away,65,280,19,157,29,133,1,7,70,5,38
10/04/08,725,Army,Tulane,W 44-13,5,43,0,away,44,291,42,330,38,156,0,0,49,2,20
10/11/08,725,Army,Eastern Mich.,W 17-13,3,0,0,home,59,341,30,138,29,117,2,12,62,3,28
10/18/08,725,Army,Buffalo,L 24-27,6,52,0,away,54,320,35,279,30,41,5,43,60,7,53
10/25/08,725,Army,Louisiana Tech,W 14-7,9,32,1,home,56,203,19,84,38,68,5,41,65,1,10
11/01/08,725,Army,Air Force,L 7-16,26,107,2,home,48,143,8,32,49,142,0,0,74,4,45
11/08/08,725,Army,Rice,L 31-38,15,31,0,away,65,461,28,384,29,133,2,24,80,5,60
11/22/08,725,Army,Rutgers,L 3-30,4,2,0,away,47,217,34,359,30,162,2,16,51,7,43
12/06/08,725,Army,Navy,L 0-34,16,52,1,neutral,36,102,10,62,57,368,0,0,52,2,15
08/30/08,37,Auburn,La.-Monroe,W 34-0,27,85,1,home,46,321,38,136,30,84,2,11,73,7,55
09/06/08,37,Auburn,Southern Miss.,W 27-13,34,248,1,home,41,132,50,268,27,37,3,16,75,6,53
09/13/08,37,Auburn,Mississippi St.,W 3-2,26,154,0,away,45,161,25,78,30,38,3,13,71,12,94
09/20/08,37,Auburn,LSU,L 21-26,32,250,2,home,36,70,29,220,38,178,2,9,68,2,10
09/27/08,37,Auburn,Tennessee,W 14-12,29,129,1,home,38,97,24,67,33,124,2,5,67,9,59
10/04/08,37,Auburn,Vanderbilt,L 13-14,22,98,1,away,44,110,31,157,32,106,1,10,66,11,81
10/11/08,37,Auburn,Arkansas,L 22-25,28,137,3,home,33,56,33,228,44,188,1,2,61,2,5
10/23/08,37,Auburn,West Virginia,L 17-34,21,111,1,away,45,149,21,174,35,271,2,22,66,5,49
